epoch,split,loss,accuracy,precision,recall,f1,mcc,tp,fp,tn,fn
85,val,0.002576,0.999803,0.676268,0.374788,0.482291,0.503359,9743,4664,106320228,16253
86,train,0.000471,0.99988,0.755696,0.762441,0.759054,0.759001,80128,25904,424748658,24966
86,val,0.002513,0.999803,0.665154,0.388944,0.490861,0.508545,10111,5090,106319802,15885
87,train,0.000464,0.999882,0.758062,0.767684,0.762843,0.762799,80679,25749,424748813,24415
87,val,0.002584,0.999803,0.672959,0.379866,0.485616,0.505516,9875,4799,106320093,16121
88,train,0.000461,0.999882,0.758311,0.769026,0.763631,0.763591,80820,25759,424748803,24274
88,val,0.002601,0.999806,0.691281,0.372711,0.484305,0.507507,9689,4327,106320565,16307
89,train,0.000448,0.999885,0.762959,0.774764,0.768816,0.768781,81423,25297,424749265,23671
89,val,0.002647,0.999807,0.705312,0.366249,0.482137,0.50817,9521,3978,106320914,16475
90,train,0.000438,0.999887,0.76641,0.782024,0.774138,0.774121,82186,25049,424749513,22908
90,val,0.002637,0.999808,0.697291,0.384213,0.495437,0.517515,9988,4336,106320556,16008
91,train,0.000431,0.999889,0.768853,0.784926,0.776806,0.776792,82491,24800,424749762,22603
91,val,0.002596,0.999803,0.664385,0.392099,0.493154,0.510308,10193,5149,106319743,15803
92,train,0.000424,0.999891,0.772457,0.791339,0.781784,0.781786,83165,24498,424750064,21929
92,val,0.002748,0.99981,0.712237,0.372557,0.489216,0.51504,9685,3913,106320979,16311
93,train,0.000415,0.999893,0.776295,0.796535,0.786285,0.786296,83711,24123,424750439,21383
93,val,0.002646,0.999808,0.699198,0.382251,0.49428,0.516898,9937,4275,106320617,16059
94,train,0.000405,0.999895,0.779681,0.801863,0.790616,0.790642,84271,23813,424750749,20823
94,val,0.002707,0.999806,0.682071,0.391176,0.497201,0.51645,10169,4740,106320152,15827
95,train,0.000399,0.999897,0.784192,0.80566,0.794781,0.794802,84670,23301,424751261,20424
95,val,0.002714,0.999809,0.693493,0.389483,0.498818,0.519631,10125,4475,106320417,15871
96,train,0.000397,0.999897,0.783998,0.80643,0.795056,0.795084,84751,23350,424751212,20343
96,val,0.00268,0.99981,0.696698,0.39683,0.505649,0.525721,10316,4491,106320401,15680
97,train,0.00039,0.999899,0.787686,0.809999,0.798686,0.798714,85126,22945,424751617,19968
97,val,0.002808,0.999812,0.71563,0.380251,0.496621,0.52157,9885,3928,106320964,16111
98,train,0.000382,0.999901,0.790263,0.81507,0.802475,0.802521,85659,22734,424751828,19435
98,val,0.002725,0.999811,0.700178,0.39383,0.504111,0.525037,10238,4384,106320508,15758
99,train,0.000372,0.999903,0.794103,0.819809,0.806751,0.806805,86157,22339,424752223,18937
99,val,0.002713,0.999809,0.683849,0.406216,0.509677,0.526973,10560,4882,106320010,15436
